season,team,position,status,full_name,first_name,last_name,jersey_number,depth_chart_position,gsis_id,espn_id,years_exp,headshot_url,week
2026,PHI,QB,ACT,Andy Dalton,Andrew,Dalton,14,QB,00-0027973,14012,15,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sfsneh0bn46e2kwve7sr",2
2026,GB,QB,ACT,Tyrod Taylor,Tyrod,Taylor,6,QB,00-0028118,14163,15,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/whpztm9akd7yefplp37r",2
2026,CHI,QB,INA,Case Keenum,Casey,Keenum,11,QB,00-0028986,15168,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weixhyzal4ntsyszyepu",2
2026,LV,QB,ACT,Kirk Cousins,Kirk,Cousins,8,QB,00-0029604,14880,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/za7cynvpwlsro1tsaijk",2
2026,NYJ,QB,ACT,Geno Smith,Eugene,Smith,7,QB,00-0030565,15864,13,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zppfqqcyjfma14jjif3a",2
2026,DET,QB,RET,Teddy Bridgewater,Theodore,Bridgewater,5,QB,00-0031237,16728,12,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vwtggtoroccnjv3h0niq",2
2026,NYG,QB,ACT,Jameis Winston,Jameis,Winston,19,QB,00-0031503,2969939,11,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e5qyxnibbyawi0pvfpjl",2
2026,WAS,QB,ACT,Marcus Mariota,Marcus,Mariota,8,QB,00-0032268,2576980,11,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/grx6m1fmu1odltjo3y31",2
2026,MIN,QB,ACT,Carson Wentz,Carson,Wentz,11,QB,00-0032950,2573079,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vuolixdvigc8axelug66",2
2026,DAL,QB,ACT,Dak Prescott,Rayne,Prescott,4,QB,00-0033077,2577417,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",2
2026,DET,QB,ACT,Jared Goff,Jared,Goff,16,QB,00-0033106,3046779,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",2
2026,ARI,QB,ACT,Jacoby Brissett,Jacoby,Brissett,7,QB,00-0033119,2578570,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz",2
2026,JAX,QB,ACT,Nick Mullens,Nicholas,Mullens,14,QB,00-0033319,3059989,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/haxwyajgngz6quuyqg19",2
